product_id,color_id,product_name,product_price,currency,product_color,category,image_urls,product_url,filename,relative_path
4S005CPLB.19HD,19HD,Butterfly S005 Sunglasses in Acetate; Classic Dark Havana,460,USD,Classic Dark Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S005CPLB.19HD_1_FAWI18_81989.jpg, https://twicpics.celine.com/product-prd/images/large/4S005CPLB.19HD_2_FAWI18_82156.jpg",/en-us/celine-shop-women/accessories/sunglasses/butterfly-s005-sunglasses-in-acetate-4S005CPLB.19HD.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AU8D358U.03NA,03NA,triomphe cloche hat in straw; Natural,890,USD,Natural,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AU8D358U.03NA_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AU8D358U.03NA_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-cloche-hat-in-straw-2AU8D358U.03NA.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AU04545I.02NC,02NC,triomphe panama hat in straw; Natural / Black,890,USD,Natural / Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AU04545I.02NC_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AU04545I.02NC_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-panama-hat-in-straw-2AU04545I.02NC.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AU04545I.02VB,02VB,pANAMA in straw; Natural / Light Beige,890,USD,Natural / Light Beige,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AU04545I.02VB_1_SPR23.jpg, https://twicpics.celine.com/product-prd/images/large/2AU04545I.02VB_2_SPR23.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/panama-in-straw-2AU04545I.02VB.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AU4D012Y.03NA,03NA,wide-brimmed triomphe hat in straw; Natural,1100,USD,Natural,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AU4D012Y.03NA_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AU4D012Y.03NA_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/wide-brimmed-triomphe-hat-in-straw-2AU4D012Y.03NA.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AUP7517Q.02NC,02NC,triomphe bucket hat in raffia; Natural / Black,790,USD,Natural / Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AUP7517Q.02NC_1_SPR23.jpg, https://twicpics.celine.com/product-prd/images/large/2AUP7517Q.02NC_2_SPR23.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bucket-hat-in-raffia-2AUP7517Q.02NC.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AUG1296V.08WV,08WV,triomphe sailor cap in cotton hickory; WAVE WASH,670,USD,WAVE WASH,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AUG1296V.08WV_1_SS24_P2_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/2AUG1296V.08WV_2_SS24_P2_W_V2.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-sailor-cap-in-cotton-hickory-2AUG1296V.08WV.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AUP1296V.08WV,08WV,triomphe visor in hickory cotton; WAVE WASH,475,USD,WAVE WASH,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AUP1296V.08WV_1_SUM23_V2.jpg, https://twicpics.celine.com/product-prd/images/large/2AUP1296V.08WV_2_SUM23_V2.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-visor-in-hickory-cotton-2AUP1296V.08WV.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AE8Q720X.38EC,38EC,triomphe striped cloche beanie in crocheted cotton; black / ecru,850,USD,black / ecru,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AE8Q720X.38EC_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AE8Q720X.38EC_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-striped-cloche-beanie-in-crocheted-cotton-2AE8Q720X.38EC.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AE0Q762X.07BW,07BW,triomphe bucket hat in crocheted wool and denim; Blue / Off White,850,USD,Blue / Off White,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AE0Q762X.07BW_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AE0Q762X.07BW_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bucket-hat-in-crocheted-wool-and-denim-2AE0Q762X.07BW.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AJ79923T.01OW,01OW,triomphe cloche beanie in crocheted cotton; Off White,750,USD,Off White,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AJ79923T.01OW_1_SUM23.jpg, https://twicpics.celine.com/product-prd/images/large/2AJ79923T.01OW_2_SUM23.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-cloche-beanie-in-crocheted-cotton-2AJ79923T.01OW.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AE9M727X.01OW,01OW,triomphe bandana in crocheted cotton; Off White,475,USD,Off White,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AE9M727X.01OW_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AE9M727X.01OW_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bandana-in-crocheted-cotton-2AE9M727X.01OW.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2ADB3332V.19BR,19BR,mini bag in crocheted silk and pearls; Brown,670,USD,Brown,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2ADB3332V.19BR_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2ADB3332V.19BR_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/mini-bag-in-crocheted-silk-and-pearls-2ADB3332V.19BR.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2ADB3332V.01OW,01OW,mini bag in crocheted silk and pearls; Off White,670,USD,Off White,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2ADB3332V.01OW_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2ADB3332V.01OW_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/mini-bag-in-crocheted-silk-and-pearls-2ADB3332V.01OW.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AUE5968P.38NO,38NO,TRIOMPHE BOB IN COTTON GABARDINE; Black,590,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AUE5968P.38NO_1_SS24_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AUE5968P.38NO_2_SS24_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bob-in-cotton-gabardine-2AUE5968P.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AU0Z930F.07DU,07DU,triomphe bucket hat in dark union wash denim; DARK UNION WASH,750,USD,DARK UNION WASH,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AU0Z930F.07DU_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/2AU0Z930F.07DU_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bucket-hat-in-dark-union-wash-denim-2AU0Z930F.07DU.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
2AUN6769K.02KK,02KK,triomphe bucket hat in cotton gabardine; Kaki,590,USD,Kaki,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/2AUN6769K.02KK_1_SUM23_V2.jpg, https://twicpics.celine.com/product-prd/images/large/2AUN6769K.02KK_2_SUM23_V2.jpg",/en-us/celine-shop-women/accessories/hats-and-soft-accessories/triomphe-bucket-hat-in-cotton-gabardine-2AUN6769K.02KK.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
