product_id,category,product_name,description,price,main_image_url,additional_image_url,product_details_url,filename
FY1297AR6SF1MTG,mens-clothing,Top,White cotton top,$920.00,https://static.fendi.com/dam/is/image/fendi/FY1297AR6SF1MTG_01?wid=1000&hei=1000&hash=c3ca8d338998110abaa120fb9a193581-18d3e26c797,https://static.fendi.com/dam/is/image/fendi/FY1297AR6SF1MTG_03?wid=1000&hei=1000&hash=4a91064aa2de0c7d8c40ddbfcb23cc9a-18d3e26c16a,https://www.fendi.com/us-en/man/ready-to-wear/top-white-cotton-top-fy1297ar6sf1mtg,mens-clothing.html
FZX091AR82F0LWU,mens-clothing,Sweater,White FF cotton and linen jumper,"$1,150.00",https://static.fendi.com/dam/is/image/fendi/FZX091AR82F0LWU_01?wid=1000&hei=1000&hash=7bad1f3fcdd69ef1abdc54c856ac41b6-18d3ff157f5,https://static.fendi.com/dam/is/image/fendi/FZX091AR82F0LWU_03?wid=1000&hei=1000&hash=c132cd8919256b4f60d6ae8e9dbc7f36-18d4090d8b5,https://www.fendi.com/us-en/man/ready-to-wear/sweater-white-ff-cotton-and-linen-jumper-fzx091ar82f0lwu,mens-clothing.html
FS1246AR5VF0HH3,mens-clothing,Shirt,Light blue striped cotton oversized shirt,"$1,390.00",https://static.fendi.com/dam/is/image/fendi/FS1246AR5VF0HH3_01?wid=1000&hei=1000&hash=c822a7fb935eb9b50c5a0dc7d1acf832-18d3e5e4641,https://static.fendi.com/dam/is/image/fendi/FS1246AR5VF0HH3_99?wid=1000&hei=1000&hash=343453bbefd3c37abebf9772a699c10e-18d87b5cb1c,https://www.fendi.com/us-en/man/ready-to-wear/shirt-light-blue-striped-cotton-oversized-shirt-fs1246ar5vf0hh3,mens-clothing.html
FB0957AR8TF1MTT,mens-clothing,Pants,Beige wool pants,"$1,250.00",https://static.fendi.com/dam/is/image/fendi/FB0957AR8TF1MTT_01?wid=1000&hei=1000&hash=ee527494f873662b42a999b2d80b8c2a-18d3e36f860,https://static.fendi.com/dam/is/image/fendi/FB0957AR8TF1MTT_99?wid=1000&hei=1000&hash=20676a2ec866e401daaa1fd76472864c-18dd56a5888,https://www.fendi.com/us-en/man/ready-to-wear/pants-beige-wool-pants-fb0957ar8tf1mtt,mens-clothing.html
FS1267AR61F1MTO,mens-clothing,Shirt,Brown wool shirt,"$1,790.00",https://static.fendi.com/dam/is/image/fendi/FS1267AR61F1MTO_01?wid=1000&hei=1000&hash=1d952d438e4e31d1e239070a1217b363-18d403e2f73,https://static.fendi.com/dam/is/image/fendi/FS1267AR61F1MTO_99?wid=1000&hei=1000&hash=c1a052ad9f42e5882d2e8cc059db35f4-18dd56b94f0,https://www.fendi.com/us-en/man/ready-to-wear/shirt-brown-wool-shirt-fs1267ar61f1mto,mens-clothing.html
FJ0787AR8TF1MTT,mens-clothing,Jacket,Beige wool blazer,"$2,650.00",https://static.fendi.com/dam/is/image/fendi/FJ0787AR8TF1MTT_01?wid=1000&hei=1000&hash=a614dc933be72a0a08ffe99e81fd9c15-18d3ec9f01d,https://static.fendi.com/dam/is/image/fendi/FJ0787AR8TF1MTT_99?wid=1000&hei=1000&hash=0ce6538cb7dd0ffe8dd0494f8e11341a-18dd56a3178,https://www.fendi.com/us-en/man/ready-to-wear/jacket-beige-wool-blazer-fj0787ar8tf1mtt,mens-clothing.html
FS1242AR5VF06WU,mens-clothing,Shirt,Brown striped cotton shirt,$950.00,https://static.fendi.com/dam/is/image/fendi/FS1242AR5VF06WU_01?wid=1000&hei=1000&hash=6e32ee9dcf9d8907bb01db3e4bae7716-18d3e37fc61,https://static.fendi.com/dam/is/image/fendi/FS1242AR5VF06WU_99?wid=1000&hei=1000&hash=22d0a6ac523d11786cf94ffab19b49dd-18d87b4af56,https://www.fendi.com/us-en/man/ready-to-wear/shirt-brown-striped-cotton-shirt-fs1242ar5vf06wu,mens-clothing.html
FB0976AR8WF1NIL,mens-clothing,Pants,Beige coated fabric pants,"$1,150.00",https://static.fendi.com/dam/is/image/fendi/FB0976AR8WF1NIL_01?wid=1000&hei=1000&hash=5d9d17e759a0c2fb202266f12727846e-18d3e228a91,https://static.fendi.com/dam/is/image/fendi/FB0976AR8WF1NIL_03?wid=1000&hei=1000&hash=9540cbf3412df43c9d1c11f637f05905-18d3e228825,https://www.fendi.com/us-en/man/ready-to-wear/jackets-suits/pants-beige-coated-fabric-pants-fb0976ar8wf1nil,mens-clothing.html
FPJ118AR7JF1MTT,mens-clothing,Blouson,Beige deerprint leather Go-To jacket,"$7,800.00",https://static.fendi.com/dam/is/image/fendi/FPJ118AR7JF1MTT_01?wid=1000&hei=1000&hash=ffe82a8cd83494387f137a7917e862fb-18d3e3ef992,https://static.fendi.com/dam/is/image/fendi/FPJ118AR7JF1MTT_03?wid=1000&hei=1000&hash=f610b6d40291944f6bbc4f2403dfecf9-18d3e3ef2e0,https://www.fendi.com/us-en/man/ready-to-wear/blouson-beige-deerprint-leather-go-to-jacket-fpj118ar7jf1mtt,mens-clothing.html
FPJ113APRLF0QA1,mens-clothing,Coat,Black leather overcoat,"$10,800.00",https://static.fendi.com/dam/is/image/fendi/FPJ113APRLF0QA1_01?wid=1000&hei=1000&hash=261a876a5e58a9592b46ca0cabd81b0a-18ea3302bf8,https://static.fendi.com/dam/is/image/fendi/FPJ113APRLF0QA1_99?wid=1000&hei=1000&hash=d0ad7b855f5db6245bb97d8dca562289-18ea3304b38,https://www.fendi.com/us-en/man/ready-to-wear/coat-black-leather-overcoat-fpj113aprlf0qa1,mens-clothing.html
FPP101APRLF0QA1,mens-clothing,Short Pants,Black leather short pants,"$4,600.00",https://static.fendi.com/dam/is/image/fendi/FPP101APRLF0QA1_01?wid=1000&hei=1000&hash=5c5f1355497f2b2d42da6a62099b8dc2-18d4042feb2,https://static.fendi.com/dam/is/image/fendi/FPP101APRLF0QA1_99?wid=1000&hei=1000&hash=8604d6569ff681c18e4d0a0b81c80a7e-18d87b42828,https://www.fendi.com/us-en/man/ready-to-wear/short-pants-black-leather-short-pants-fpp101aprlf0qa1,mens-clothing.html
FS1248AR5YF0QA0,mens-clothing,Shirt,White cotton shirt,"$1,100.00",https://static.fendi.com/dam/is/image/fendi/FS1248AR5YF0QA0_01?wid=1000&hei=1000&hash=f92121e39b680a4f435ac9a2eb33167d-18d3ec873d9,https://static.fendi.com/dam/is/image/fendi/FS1248AR5YF0QA0_99?wid=1000&hei=1000&hash=8f205e722b7ef222e7e462ac67a6e0f5-18d87b5cb17,https://www.fendi.com/us-en/man/ready-to-wear/shirt-white-cotton-shirt-fs1248ar5yf0qa0,mens-clothing.html
FB0968AR96F1MTK,mens-clothing,Bermudas,Beige canvas short pants,"$1,190.00",https://static.fendi.com/dam/is/image/fendi/FB0968AR96F1MTK_01?wid=1000&hei=1000&hash=ec5ca74e536c091c0e15634c69e65e5c-18d3e22891e,https://static.fendi.com/dam/is/image/fendi/FB0968AR96F1MTK_99?wid=1000&hei=1000&hash=e8d316e6e83240290a82abb57f00dbf4-18dd56a21d8,https://www.fendi.com/us-en/man/ready-to-wear/bermudas-beige-canvas-short-pants-fb0968ar96f1mtk,mens-clothing.html
FMD016ANTPF1D3F,mens-clothing,Jacket,Beige FF mink jacket,"$53,000.00",https://static.fendi.com/dam/is/image/fendi/FMD016ANTPF1D3F_01?wid=1000&hei=1000&hash=9286ab956e4cae549903585403b97c46-18d3fc92bec,https://static.fendi.com/dam/is/image/fendi/FMD016ANTPF1D3F_03?wid=1000&hei=1000&hash=04b2b96c1c6673c82c08d8a75003fd13-18d3fc92b16,https://www.fendi.com/us-en/man/ready-to-wear/jacket-beige-ff-mink-jacket-fmd016antpf1d3f,mens-clothing.html
FME312ANTOF0ZA0,mens-clothing,Jacket,Brown leather and mink jacket,"$50,000.00",https://static.fendi.com/dam/is/image/fendi/FME312ANTOF0ZA0_01?wid=1000&hei=1000&hash=cfd175961fb662c711eafbf12713e8b8-18d3ffe40a6,https://static.fendi.com/dam/is/image/fendi/FME312ANTOF0ZA0_99?wid=1000&hei=1000&hash=dea9b9272910b77750d8e9e51617b529-18dd56a2d90,https://www.fendi.com/us-en/man/ready-to-wear/jacket-brown-leather-and-mink-jacket-fme312antof0za0,mens-clothing.html
FZX199AR8EF1MTR,mens-clothing,Top,Brown wool mesh top,$950.00,https://static.fendi.com/dam/is/image/fendi/FZX199AR8EF1MTR_01?wid=1000&hei=1000&hash=c3d69a30d97f759c91788ec9e229e387-18d3e40727f,https://static.fendi.com/dam/is/image/fendi/FZX199AR8EF1MTR_99?wid=1000&hei=1000&hash=3cccf48bce12b8b641f10d719cae7f43-18d87a39827,https://www.fendi.com/us-en/man/ready-to-wear/top-brown-wool-mesh-top-fzx199ar8ef1mtr,mens-clothing.html
FPP103APRLF1MTR,mens-clothing,Apron,Tan-colored leather apron,"$5,200.00",https://static.fendi.com/dam/is/image/fendi/FPP103APRLF1MTR_01?wid=1000&hei=1000&hash=5b2ccf60055eb9b80c2d0f6a39c1f2fa-18d3f765f3c,https://static.fendi.com/dam/is/image/fendi/FPP103APRLF1MTR_99?wid=1000&hei=1000&hash=c346da2bb47fc9d10565698c24066940-18d87b3a08e,https://www.fendi.com/us-en/man/ready-to-wear/apron-tan-colored-leather-apron-fpp103aprlf1mtr,mens-clothing.html
FLP302AQLSF0QA1,mens-clothing,Pants,Black denim pants,$980.00,https://static.fendi.com/dam/is/image/fendi/FLP302AQLSF0QA1_01?wid=1000&hei=1000&hash=cdd265fd2cf558ff18e2c5e24a343890-18bc974c72c,https://static.fendi.com/dam/is/image/fendi/FLP302AQLSF0QA1_99?wid=1000&hei=1000&hash=8436b6cdc451a56058169864b365b584-18be13aefc6,https://www.fendi.com/us-en/man/ready-to-wear/pants-black-denim-pants-flp302aqlsf0qa1,mens-clothing.html
FPP104APRLF0QA1,mens-clothing,Pants,Black nappa leather pants,"$7,800.00",https://static.fendi.com/dam/is/image/fendi/FPP104APRLF0QA1_01?wid=1000&hei=1000&hash=052ff48bfc0e98f5ee91664cb88f531c-18dd59fb0c8,https://static.fendi.com/dam/is/image/fendi/FPP104APRLF0QA1_03?wid=1000&hei=1000&hash=89a61fef1c563e85f309a914d3dbc884-18dd59fb4b0,https://www.fendi.com/us-en/man/ready-to-wear/pants-black-nappa-leather-pants-fpp104aprlf0qa1,mens-clothing.html
