category,product_name,product_id,price,discount_price,product_url,image_urls,color_name,currency,filename,relative_path
men-clothing-field-jacket,TIGRI FIELD JACKET,FI000111U132117730,965,,https://us.herno.com/en/men/outerwear/field-jacket/tigri-field-jacket-light-military-FI000111U132117730.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw82c92104/images/zoom/FI000111U13211_7730_0.jpg?sw=710&sh=900&sm=fit,Light Military,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,JERSEY KNIT EFFECT POLO SHIRT,JPL00125U520592600,275,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/jersey-knit-effect-polo-shirt-light-taupe-JPL00125U520592600.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwb496e2e8/images/zoom/JPL00125U52059_2600_0.jpg?sw=710&sh=900&sm=fit,Light Taupe,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,T-SHIRT IN SUPERFINE COTTON STRETCH,JG000174U520039200,235,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/t-shirt-in-superfine-cotton-stretch-navy-blue-JG000174U520039200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw149f40c6/images/zoom/JG000174U52003_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-bomber,SWEATSHIRT IN COTTON SWEATER,JG000175U500179200,285,,https://us.herno.com/en/men/knitwear/sweatshirts-and-bomber/sweatshirt-in-cotton-sweater-navy-blue-JG000175U500179200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw42e75615/images/zoom/JG000175U50017_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,PIGMENT DYE PIQUE' POLO SHIRT,JPL00126U540069400,210,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/pigment-dye-pique-polo-shirt-grey-JPL00126U540069400.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw13de4803/images/zoom/JPL00126U54006_9400_0.jpg?sw=710&sh=900&sm=fit,Grey,USD,men.html,men.html
men-clothing-bomber,IL BOMBERINO,PC003ULE192889405,1.045,,https://us.herno.com/en/men/outerwear/bomber/il-bomberino-light-grey-PC003ULE192889405.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw550d5697/images/zoom/PC003ULE19288_9405_0.jpg?sw=710&sh=900&sm=fit,Light Grey,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,JERSEY KNIT EFFECT T-SHIRT,JG000206U520599200,240,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/jersey-knit-effect-t-shirt-navy-blue-JG000206U520599200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw9308449a/images/zoom/JG000206U52059_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-outerwear-shirts,COTTON CASHMERE RAIN SHIRT,GI000407U131859409,1.395,,https://us.herno.com/en/men/outerwear/shackets/cotton-cashmere-rain-shirt-pearl-GI000407U131859409.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw0f128989/images/zoom/GI000407U13185_9409_0.jpg?sw=710&sh=900&sm=fit,Pearl,USD,men.html,men.html
men-apparel-trousers,NYLON JERSEY TROUSERS,PT000044U12588S9300,395,,https://us.herno.com/en/men/clothing/trousers/nylon-jersey-trousers-black-PT000044U12588S9300.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwf820d1ab/images/zoom/PT000044U12588S_9300_0.jpg?sw=710&sh=900&sm=fit,Black,USD,men.html,men.html
men-clothing-gilet,LO SMANICATO,PC001ULE192889405,760,,https://us.herno.com/en/men/outerwear/vests/lo-smanicato-grey-PC001ULE192889405.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwd4538769/images/zoom/PC001ULE19288_9405_0.jpg?sw=710&sh=900&sm=fit,Grey,USD,men.html,men.html
