category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,'KENZO Stamp' key ring,FE58AC842MY1.99,https://www.kenzo.com/en-us/kenzo-stamp-key-ring/FE58AC842MY1.99.html,https://media.kenzo.com/b2cprd/FE58AC842MY1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58AC842MY1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 110.00,$ 66.00,,,,c-men.html
c-men,Boke Flower' jumper,FD55PU3803LC.99J,https://www.kenzo.com/en-us/boke-flower-jumper/FD55PU3803LC.99J.html,https://media.kenzo.com/b2cprd/FD55PU3803LC.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55PU3803LC.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 530.00,,,"black, off white, dark khaki",,c-men.html
c-men,'KENZO Utility' large canvas tote bag,FE58SA911F34.76,https://www.kenzo.com/en-us/kenzo-utility-large-canvas-tote-bag/FE58SA911F34.76.html,https://media.kenzo.com/b2cprd/FE58SA911F34.76_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SA911F34.76_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 445.00,,,,,c-men.html
c-men,'Boke Flower' embroidered long-sleeved T-shirt,FE55TS1854SG.01,https://www.kenzo.com/en-us/boke-flower-embroidered-long-sleeved-t-shirt/FE55TS1854SG.01.html,https://media.kenzo.com/b2cprd/FE55TS1854SG.01_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1854SG.01_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 205.00,,,"white, black",,c-men.html
c-men,'Bicolor KENZO Paris' classic two-tone embroidered T-shirt,FE55TS1844SG.02,https://www.kenzo.com/en-us/bicolor-kenzo-paris-classic-two-tone-embroidered-t-shirt/FE55TS1844SG.02.html,https://media.kenzo.com/b2cprd/FE55TS1844SG.02_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1844SG.02_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 205.00,$ 144.00,,"off white, camel, black",,c-men.html
c-men,'Boke Flower 2.0' embroidered polo in organic cotton,FE65PO5384PU.01,https://www.kenzo.com/en-us/boke-flower-2.0-embroidered-polo-in-organic-cotton/FE65PO5384PU.01.html,https://media.kenzo.com/b2cprd/FE65PO5384PU.01_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE65PO5384PU.01_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 255.00,,,"white, black",New,c-men.html
c-men,'KENZO Varsity' iPhone 15 Pro Max case,FE58CO5PMREL.94,https://www.kenzo.com/en-us/kenzo-varsity-iphone-15-pro-max-case/FE58CO5PMREL.94.html,https://media.kenzo.com/b2cprd/FE58CO5PMREL.94_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58CO5PMREL.94_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 95.00,$ 57.00,Back in Stock,,,c-men.html
c-men,'KENZO by Verdy' genderless hooded jumper,FE58PU0113BE.99J,https://www.kenzo.com/en-us/kenzo-by-verdy-genderless-hooded-jumper/FE58PU0113BE.99J.html,https://media.kenzo.com/b2cprd/FE58PU0113BE.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58PU0113BE.99J_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 745.00,,,"off white, black",Show,c-men.html
c-men,'KENZO Stamp' silk square.,FE52EW320PEJ.75,https://www.kenzo.com/en-us/kenzo-stamp-silk-square./FE52EW320PEJ.75.html,https://media.kenzo.com/b2cprd/FE52EW320PEJ.75_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE52EW320PEJ.75_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 335.00,$ 201.00,Back in Stock,,,c-men.html
c-men,'Bicolor KENZO Paris' classic embroidered sweatshirt,FE55SW1814MG.99J,https://www.kenzo.com/en-us/bicolor-kenzo-paris-classic-embroidered-sweatshirt/FE55SW1814MG.99J.html,https://media.kenzo.com/b2cprd/FE55SW1814MG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1814MG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 365.00,,,"camel, black",,c-men.html
c-men,'KENZO Jungle' iPhone 14 Pro Case,FD6COI14PJGL.99,https://www.kenzo.com/en-us/kenzo-jungle-iphone-14-pro-case/FD6COI14PJGL.99.html,https://media.kenzo.com/b2cprd/FD6COI14PJGL.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD6COI14PJGL.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,,,,c-men.html
