user_category,product_url,product_name,price,discounted_price,image_urls,sizes,availability,label,filename
shoes,/products/bo0007faa1a08s50ta-darizo-low-boots-taupe,Darizo Low Boots,850,,"//us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-50TA-R.jpg?v=1713791834&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-50TA-D.jpg?v=1713791834&width=1200","35, 36, 37, 38, 39, 40, 41, 42","not available, available, available, available, available, available, available, not available",,shoes.html
shoes,/products/bo0007faa1a08s02fk-darizo-low-boots-black,Darizo Low Boots,850,,"//us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-02FK-R.jpg?v=1713791775&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-02FK-F.jpg?v=1713791775&width=1200","35, 36, 37, 38, 39, 40, 41, 42","available, available, available, available, available, available, available, not available",,shoes.html
shoes,/products/bo0007faa1a08s62sg-darizo-low-boots-sea-green,Darizo Low Boots,850,510,"//us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-62SG-R.jpg?v=1713972518&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A08S-62SG-D.jpg?v=1713972518&width=1200",,,,shoes.html
shoes,/products/bo0008faa1a06s01bk-delena-low-boots-black,Delena Low Boots,945,,"//us.isabelmarant.com/cdn/shop/files/23ABO0008FA-A1A06S-01BK-R.jpg?v=1713603239&width=480, //us.isabelmarant.com/cdn/shop/files/23ABO0008FA-A1A06S-01BK-D.jpg?v=1713603239&width=480","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, not available",,shoes.html
shoes,/products/bo0008faa1a09s50ta-delena-low-boots-taupe,Delena Low Boots,925,,"//us.isabelmarant.com/cdn/shop/files/23ABO0008FA-A1A09S-50TA-R.jpg?v=1713602188&width=480, //us.isabelmarant.com/cdn/shop/files/23ABO0008FA-A1A09S-50TA-D.jpg?v=1713602188&width=480","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0008faa1a09s02fk-delena-low-boots-black,Delena Low Boots,925,,"//us.isabelmarant.com/cdn/shop/files/23PBO0008FA-A1A09S-02FK-R.jpg?v=1713972488&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0008FA-A1A09S-02FK-D.jpg?v=1713972488&width=1200","35, 36, 37, 38, 39, 40, 41","not available, not available, not available, not available, available, not available, not available",,shoes.html
shoes,/products/bt0001faa1a03s50ta-denvee-boots-taupe,Denvee boots,"1,095",,"//us.isabelmarant.com/cdn/shop/files/23PBT0001FA-A1A03S-50TA-R.jpg?v=1713602973&width=480, //us.isabelmarant.com/cdn/shop/files/23PBT0001FA-A1A03S-50TA-E.jpg?v=1713602973&width=480","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bt0001faa1a03s02fk-denvee-boots-black,Denvee boots,"1,095",,"//us.isabelmarant.com/cdn/shop/files/23PBT0001FA-A1A03S-02FK-R.jpg?v=1713972578&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBT0001FA-A1A03S-02FK-E.jpg?v=1713972578&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bt0001faa3a03s01bk-denvee-boots-black,Denvee Boots,"1,150",,"//us.isabelmarant.com/cdn/shop/files/23ABT0001FA-A3A03S-01BK-R.jpg?v=1713972601&width=1200, //us.isabelmarant.com/cdn/shop/files/23ABT0001FA-A3A03S-01BK-D.jpg?v=1713972601&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0025fab1a07s01bk-deone-boots-black,Deone boots,750,,"//us.isabelmarant.com/cdn/shop/files/24PBO0025FA-B1A07S-01BK-R.jpg?v=1713972626&width=1200, //us.isabelmarant.com/cdn/shop/files/24PBO0025FA-B1A07S-01BK-D.jpg?v=1713972626&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0002fab2a05s50tf-dewina-boots-toffee,Dewina Boots,990,,"//us.isabelmarant.com/cdn/shop/files/24EBO0002FA-B2A05S-50TF-R.jpg?v=1713972798&width=1200, //us.isabelmarant.com/cdn/shop/files/24EBO0002FA-B2A05S-50TF-D.jpg?v=1713972798&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0002faa1a03s50ta-dewina-boots-taupe,Dewina boots,750,,"//us.isabelmarant.com/cdn/shop/files/23PBO0002FA-A1A03S-50TA-R.jpg?v=1713972833&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0002FA-A1A03S-50TA-D.jpg?v=1713972833&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0001faa1a01s02fk-dicker-boots-black,Dicker boots,690,,"//us.isabelmarant.com/cdn/shop/files/23PBO0001FA-A1A01S-02FK-R.jpg?v=1713792301&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0001FA-A1A01S-02FK-A.jpg?v=1713792301&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0001faa1a01s50ta-dicker-boots-taupe,Dicker boots,690,,"//us.isabelmarant.com/cdn/shop/files/23PBO0001FA-A1A01S-50TA-R.jpg?v=1713972860&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0001FA-A1A01S-50TA-D.jpg?v=1713972860&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0003faa1a03s50ta-duerto-boots-taupe,Duerto boots,890,,"//us.isabelmarant.com/cdn/shop/files/23PBO0003FA-A1A03S-50TA-R.jpg?v=1713972916&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0003FA-A1A03S-50TA-D.jpg?v=1713972916&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0003faa3a58sbkec-duerto-cowboy-boots-black-and-ecru,Duerto Cowboy Boots,"1,150",,"//us.isabelmarant.com/cdn/shop/files/23ABO0003FA-A3A58S-BKEC-R.jpg?v=1713972965&width=1200, //us.isabelmarant.com/cdn/shop/files/23ABO0003FA-A3A58S-BKEC-E.jpg?v=1713972965&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0003fba3a02stakh-duerto-cowboy-boots-taupe-khaki,Duerto Cowboy Boots,"1,295",777,"//us.isabelmarant.com/cdn/shop/files/23ABO0003FB-A3A02S-TAKH-R.jpg?v=1713791634&width=1200, //us.isabelmarant.com/cdn/shop/files/23ABO0003FB-A3A02S-TAKH-D.jpg?v=1715933956&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0003faa1a03s02fk-duerto-cowboy-boots-black,Duerto Cowboy Boots,890,,"//us.isabelmarant.com/cdn/shop/files/23PBO0003FA-A1A03S-02FK-R.jpg?v=1713791435&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0003FA-A1A03S-02FK-Y.jpg?v=1713791435&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
