category,name,product_id,product_url,image_url,full_price,discount_price,tag(s),filename
women_clothing,Check Hood Cotton Zip Hoodie,80558681,https://us.burberry.com/check-hood-cotton-zip-hoodie-p80558681,https://assets.burberry.com/is/image/Burberryltd/98499410-3D8D-4088-8A13-853167560C4B?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,000.00",,,women_clothing.html
women_clothing,Logo Cotton Hoodie,80543861,https://us.burberry.com/logo-cotton-hoodie-p80543861,https://assets.burberry.com/is/image/Burberryltd/B0427619-D740-4FA3-9910-05768EFBD77D?$BBY_V3_SL_1.36$&wid=581&hei=788,$820.00,,,women_clothing.html
women_clothing,Logo Cotton Hoodie,80607021,https://us.burberry.com/logo-cotton-hoodie-p80607021,https://assets.burberry.com/is/image/Burberryltd/AE1F528D-3D74-4E07-BA79-D4CF9351DED0?$BBY_V3_SL_1.36$&wid=581&hei=788,$820.00,,,women_clothing.html
women_clothing,Stripe Collar Cashmere Sweater,80484281,https://us.burberry.com/stripe-collar-cashmere-sweater-p80484281,https://assets.burberry.com/is/image/Burberryltd/FDB54BF0-DFD9-407A-AB44-6AE2D592C6AC?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,090.00",,,women_clothing.html
women_clothing,Stripe Collar Cashmere Sweater,80484291,https://us.burberry.com/stripe-collar-cashmere-sweater-p80484291,https://assets.burberry.com/is/image/Burberryltd/6049992D-7335-494D-AEBA-D9414C9D179B?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,090.00",,,women_clothing.html
women_clothing,Cropped Check Trim Stretch Jersey Zip Top,80721911,https://us.burberry.com/cropped-check-trim-stretch-jersey-zip-top-p80721911,https://assets.burberry.com/is/image/Burberryltd/3B6CCA15-FB3C-493E-A15F-7670A457C38B?$BBY_V3_SL_1.36$&wid=581&hei=788,$650.00,,,women_clothing.html
women_clothing,Check Trim Stretch Jersey Leggings,80721241,https://us.burberry.com/check-trim-stretch-jersey-leggings-p80721241,https://assets.burberry.com/is/image/Burberryltd/2F587796-3DB0-431E-8F71-CA265564029A?$BBY_V3_SL_1.36$&wid=581&hei=788,$820.00,,,women_clothing.html
women_clothing,Check Trim Cotton Jogging Pants,80460561,https://us.burberry.com/check-trim-cotton-jogging-pants-p80460561,https://assets.burberry.com/is/image/Burberryltd/453062D7-D540-4EDF-BC0E-C1C1D35BC2CA?$BBY_V3_SL_1.36$&wid=581&hei=788,$860.00,,,women_clothing.html
women_clothing,Logo Detail Vintage Check Bra Top,80328771,https://us.burberry.com/logo-detail-vintage-check-bra-top-p80328771,https://assets.burberry.com/is/image/Burberryltd/03E9A8A2-43AF-45A3-98E1-311A56D1718D?$BBY_V3_SL_1.36$&wid=581&hei=788,$500.00,,,women_clothing.html
women_clothing,Check Stretch Jersey Leggings,80494781,https://us.burberry.com/check-stretch-jersey-leggings-p80494781,https://assets.burberry.com/is/image/Burberryltd/DDE6D16E-8156-4091-A0E3-355D1BD9710B?$BBY_V3_SL_1.36$&wid=581&hei=788,$610.00,,,women_clothing.html
