product_id,category,item_name,quantity,inventory_ats,price,full_price,discount_name,pre_order,item_ean,item_master,item_category,item_category2,item_category3,image_url,product_url,filename
CN1XR265MLTN1KA,womens-accessories,Buffalo skull ring,1,0,177,295.00,SALE_SS24_40OFF|Free express shipping,no,,CN1XR265MLTN,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1XR265MLTN1KAF?_i=AG",us.balmain.com/en/p/buffalo-skull-ring-CN1XR265MLTN1KA.html,womens-accessories.txt
CN1XG278LLBR1KA,womens-accessories,Western leather and golden metal bracelet,1,0,417,695.00,SALE_SS24_40OFF|Free express shipping,no,,CN1XG278LLBR,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1XG278LLBR1KAF?_i=AG",us.balmain.com/en/p/western-leather-and-golden-metal-bracelet-CN1XG278LLBR1KA.html,womens-accessories.txt
CN1XR089MLAI1FA,womens-accessories,Tubular ring ,1,0,250,None,Free express shipping,no,,CN1XR089MLAI,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1XR089MLAI1FAF?_i=AG",us.balmain.com/en/p/tubular-ring--CN1XR089MLAI1FA.html,womens-accessories.txt
ABPS140140B,womens-accessories,Envie Sunglasses,1,0,790,None,Free express shipping,no,,ABPS140,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ENVIE_BPS-140B-54_2?_i=AG",us.balmain.com/en/p/envie-sunglasses-ABPS140140B.html,womens-accessories.txt
ABPS140140A,womens-accessories,Envie Sunglasses,1,0,790,None,Free express shipping,no,,ABPS140,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ENVIE_BPS-140A-54_2?_i=AG",us.balmain.com/en/p/envie-sunglasses-ABPS140140A.html,womens-accessories.txt
CN1MA195LSLX437,womens-accessories,B-Buzz grained leather card holder,1,0,177,295.00,SALE_SS24_40OFF|Free express shipping,no,,CN1MA195LSLX,women,women-accessories,women-accessories-smallleathergoods,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1MA195LSLX437F?_i=AG",us.balmain.com/en/p/b-buzz-grained-leather-card-holder-CN1MA195LSLX437.html,womens-accessories.txt
CN1MA195LAVE0PA,womens-accessories,B-Buzz leather card holder ,1,0,295,None,Free express shipping,no,,CN1MA195LAVE,women,women-accessories,women-accessories-smallleathergoods,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1MA195LAVE0PAF?_i=AG",us.balmain.com/en/p/b-buzz-leather-card-holder--CN1MA195LAVE0PA.html,womens-accessories.txt
CN1ON197LSLX437,womens-accessories,B-Buzz grained leather wallet,1,0,597,995.00,SALE_SS24_40OFF|Free express shipping,no,,CN1ON197LSLX,women,women-accessories,women-accessories-smallleathergoods,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1ON197LSLX437_F?_i=AG",us.balmain.com/en/p/b-buzz-grained-leather-wallet-CN1ON197LSLX437.html,womens-accessories.txt
CN1NN216LAVE0PA,womens-accessories,B-Buzz leather purse ,1,0,420,None,Free express shipping,no,,CN1NN216LAVE,women,women-accessories,women-accessories-smallleathergoods,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1NN216LAVE0PAF?_i=AG",us.balmain.com/en/p/b-buzz-leather-purse--CN1NN216LAVE0PA.html,womens-accessories.txt
CN1WJ002LRMCGRU,womens-accessories,Reversible leather B-Belt,1,0,390,650.00,SALE_SS24_40OFF|Free express shipping,no,,CN1WJ002LRMC,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1WJ002LRMCGRUF?_i=AG",us.balmain.com/en/p/reversible-leather-b-belt-CN1WJ002LRMCGRU.html,womens-accessories.txt
CN1WJ133LVRL0PA,womens-accessories,Patent leather Western belt,1,0,357,595.00,SALE_SS24_40OFF|Free express shipping,no,,CN1WJ133LVRL,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1WJ133LVRL0PAF?_i=AG",us.balmain.com/en/p/patent-leather-western-belt-CN1WJ133LVRL0PA.html,womens-accessories.txt
CN1WJ118LVTL0PA,womens-accessories,Leather P-Belt,1,0,495,None,Free express shipping,no,,CN1WJ118LVTL,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1WJ118LVTL0PAF?_i=AG",us.balmain.com/en/p/leather-p-belt-CN1WJ118LVTL0PA.html,womens-accessories.txt
BN1WJ067LVMOEAD,womens-accessories,Leather 'Coin' belt,1,0,477,795.00,SALE_SS24_40OFF|Free express shipping,no,,BN1WJ067LVMO,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BN1WJ067LVMOEADF?_i=AG",us.balmain.com/en/p/leather-%27coin%27-belt-BN1WJ067LVMOEAD.html,womens-accessories.txt
CF1XF075VE39GFE,womens-accessories,Floaty scarf with mini monogram and paisley print,1,0,414,690.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XF075VE39,women,women-accessories,women-accessories-scarves,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XF075VE39GFEF?_i=AG",us.balmain.com/en/p/floaty-scarf-with-mini-monogram-and-paisley-print-CF1XF075VE39GFE.html,womens-accessories.txt
CF1XF090SD50EJS,womens-accessories,Mini monogram and paisley reversible scarf,1,0,135,225.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XF090SD50,women,women-accessories,women-accessories-scarves,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XF090SD50EJSF?_i=AG",us.balmain.com/en/p/mini-monogram-and-paisley-reversible-scarf-CF1XF090SD50EJS.html,womens-accessories.txt
