"product_id","product_name","brand","price","currency","category","sub_category","color","product_url","image_url"
"45863477BF","Small Marcie saddle bag in soft leather","CHLOE","1450","USD","llbgs","Shoulder bag","DEEP BEIGE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863477bf.html","https://www.chloe.com/product_image/45863477BF/f/w282.jpg"
"45660629GS","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45660629gs.html","https://www.chloe.com/product_image/45660629GS/f/w282.jpg"
"45822923WM","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","FLORAL GREY","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45822923wm.html","https://www.chloe.com/product_image/45822923WM/f/w282.jpg"
"45661714IQ","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661714iq.html",""
"45741210KE","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","MILKY BROWN","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45741210ke.html",""
"45822784MX","Marcie small saddle bag","CHLOE","1450","USD","llbgs","Hand bag","TAWNY ORANGE","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45822784mx.html",""
"45863414QA","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863414qa.html",""
"45661618HB","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Cashmere Grey","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661618hb.html","https://www.chloe.com/product_image/45661618HB/f/w282.jpg"
"45863415DU","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","DIMNESS PURPLE","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863415du.html","https://www.chloe.com/product_image/45863415DU/f/w282.jpg"
"45661617WT","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Black","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661617wt.html","https://www.chloe.com/product_image/45661617WT/f/w282.jpg"
"45779117LL","Marcie chain flap bag in leather","CHLOE","2250","USD","llbgs","Shoulder bag","MISTY IVORY","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45779117ll.html","https://www.chloe.com/product_image/45779117LL/f/w282.jpg"
"45863458FQ","Marcie chain flap bag in grained leather","CHLOE","2250","USD","llbgs","Shoulder bag","ARGIL BROWN","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863458fq.html","https://www.chloe.com/product_image/45863458FQ/f/w282.jpg"
"45824749NE","Marcie chain flap bag in leather","CHLOE","2290","USD","llbgs","Shoulder bag","WOODROSE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45824749ne.html","https://www.chloe.com/product_image/45824749NE/f/w282.jpg"
"45824748KW","Marcie chain flap bag in leather","CHLOE","2290","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45824748kw.html","https://www.chloe.com/product_image/45824748KW/f/w282.jpg"
"45863479LQ","Small Marcie saddle bag in linen & soft leather","CHLOE","1450","USD","llbgs","Shoulder bag","Sepia Brown","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863479lq.html","https://www.chloe.com/product_image/45863479LQ/f/w282.jpg"
"45863478QM","Small Marcie saddle bag in linen & soft leather","CHLOE","1450","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863478qm.html","https://www.chloe.com/product_image/45863478QM/f/w282.jpg"
"45779121QW","Marcie bucket bag in grained leather","CHLOE","2290","USD","llbgs","Shoulder bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45779121qw.html","https://www.chloe.com/product_image/45779121QW/f/w282.jpg"
"45863459RR","Marcie bucket bag in soft leather","CHLOE","2290","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863459rr.html","https://www.chloe.com/product_image/45863459RR/f/w282.jpg"
"45779120OG","Marcie bucket bag in grained leather","CHLOE","2290","USD","llbgs","Shoulder bag","MISTY IVORY","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45779120og.html","https://www.chloe.com/product_image/45779120OG/f/w282.jpg"
"45823158ML","Marcie bucket bag in grained leather","CHLOE","2290","USD","llbgs","Shoulder bag","Nomad Beige","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45823158ml.html","https://www.chloe.com/product_image/45823158ML/f/w282.jpg"
"45822647GQ","Marcie bucket bag in grained leather","CHLOE","2290","USD","llbgs","Shoulder bag","DARK NUT","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45822647gq.html","https://www.chloe.com/product_image/45822647GQ/f/w282.jpg"
"45779119XT","Marcie bucket bag in grained leather","CHLOE","2290","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45779119xt.html","https://www.chloe.com/product_image/45779119XT/f/w282.jpg"
"45863447EE","Mini Marcie flap bag in leather","CHLOE","1550","USD","llbgs","Mini bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45863447ee.html","https://www.chloe.com/product_image/45863447EE/f/w282.jpg"
"45863446NP","Mini Marcie flap bag in leather","CHLOE","1550","USD","llbgs","Mini bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45863446np.html","https://www.chloe.com/product_image/45863446NP/f/w282.jpg"
"45823174WE","Mini Marcie vanity on chain in grained leather","CHLOE","1450","USD","llbgs","Mini bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45823174we.html","https://www.chloe.com/product_image/45823174WE/f/w282.jpg"
"45823173BM","Mini Marcie vanity on chain in grained leather","CHLOE","1450","USD","llbgs","Mini bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45823173bm.html","https://www.chloe.com/product_image/45823173BM/f/w282.jpg"
"45855491EX","Mini Marcie vanity on chain in grained leather","CHLOE","1450","USD","llbgs","Mini bag","Black","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45855491ex.html","https://www.chloe.com/product_image/45855491EX/f/w282.jpg"
"45779061RW","Micro Marcie bucket bag in grained leather","CHLOE","1450","USD","llbgs","Mini bag","Black","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45779061rw.html",""
"45801890JN","Micro Marcie bucket bag in grained leather","CHLOE","1450","USD","llbgs","Mini bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45801890jn.html",""
"45779062XK","Micro Marcie bucket bag in grained leather","CHLOE","1450","USD","llbgs","Mini bag","MISTY IVORY","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45779062xk.html",""
