"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"15395536SQ","Two-part backless dress","2990","223","2298/29827","Ready-to-wear","Dresses","2298","29827","Blue - White 1","14723","2990","2990","2990.0","2990.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395536sq.html","https://www.chloe.com/product_image/15395536SQ/f/w282.jpg","clothing.html"
"15395535UQ","Two-part backless dress","2990","224","2298/29827","Ready-to-wear","Dresses","2298","29827","MULTICOLOR BEIGE 1","21263","2990","2990","2990.0","2990.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395535uq.html","https://www.chloe.com/product_image/15395535UQ/f/w282.jpg","clothing.html"
"16278469DI","Hooded cape coat","5650","225","2298/29818","Ready-to-wear","Coats","2298","29818","Pearl Beige","32277","5650","2825","5650.0","2825.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16278469di.html","https://www.chloe.com/product_image/16278469DI/f/w282.jpg","clothing.html"
"16278468XK","Hooded cape coat","5650","226","2298/29818","Ready-to-wear","Coats","2298","29818","Black","23387","5650","2825","5650.0","2825.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16278468xk.html","https://www.chloe.com/product_image/16278468XK/f/w282.jpg","clothing.html"
"15326243UR","Long sleeveless dress","5390","227","2298/29827","Ready-to-wear","Dresses","2298","29827","MULTICOLOR BROWN 1","35116","5390","2695","5390.0","2695.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326243ur.html","https://www.chloe.com/product_image/15326243UR/f/w282.jpg","clothing.html"
"16147210VH","Soft tailored jacket","2650","228","2298/29755","Ready-to-wear","Jackets ","2298","29755","","","2650","2650","2650.0","2650.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16147210vh.html","https://www.chloe.com/product_image/16147210VH/f/w282.jpg","clothing.html"
"10212822QG","Loose collarless top","5190","229","2298/29768","Ready-to-wear","Top","2298","29768","MULTICOLOR BROWN 1","35116","5190","2595","5190.0","2595.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212822qg.html","https://www.chloe.com/product_image/10212822QG/f/w282.jpg","clothing.html"
"54197682LE","Cargo pants","5050","230","2298/29772","Ready-to-wear","Pants ","2298","29772","MULTICOLOR BROWN 1","35116","5050","2525","5050.0","2525.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54197682le.html","https://www.chloe.com/product_image/54197682LE/f/w282.jpg","clothing.html"
"15350372OQ","Ankle-length sleeveless dress","4990","231","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","4990","2495","4990.0","2495.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15350372oq.html","https://www.chloe.com/product_image/15350372OQ/f/w282.jpg","clothing.html"
"10441144MR","Flowing gathered cotton shirt","2450","232","2298/29768","Ready-to-wear","Top","2298","29768","VANILLA ICE","37783","2450","2450","2450.0","2450.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10441144mr.html","https://www.chloe.com/product_image/10441144MR/f/w282.jpg","clothing.html"
